State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Andaman & Nicobar,2018,Q1 (Jan - Mar),Recharge & bill payments,4200,1845307
Andaman & Nicobar,2018,Q1 (Jan - Mar),Peer-to-peer payments,1871,12138655
Andaman & Nicobar,2018,Q1 (Jan - Mar),Merchant payments,298,452507
Andaman & Nicobar,2018,Q1 (Jan - Mar),Financial Services,33,10601
Andaman & Nicobar,2018,Q1 (Jan - Mar),Others,256,184689
Andhra Pradesh,2018,Q1 (Jan - Mar),Recharge & bill payments,5027448,892293975
Andhra Pradesh,2018,Q1 (Jan - Mar),Peer-to-peer payments,3049646,10524250283
Andhra Pradesh,2018,Q1 (Jan - Mar),Merchant payments,362672,247297640
Andhra Pradesh,2018,Q1 (Jan - Mar),Financial Services,204305,44808449
Andhra Pradesh,2018,Q1 (Jan - Mar),Others,395514,287626042
Arunachal Pradesh,2018,Q1 (Jan - Mar),Recharge & bill payments,28729,5184132
Arunachal Pradesh,2018,Q1 (Jan - Mar),Peer-to-peer payments,13320,82889682
Arunachal Pradesh,2018,Q1 (Jan - Mar),Merchant payments,1042,2420374
Arunachal Pradesh,2018,Q1 (Jan - Mar),Financial Services,416,58893
Arunachal Pradesh,2018,Q1 (Jan - Mar),Others,1990,1834252
Assam,2018,Q1 (Jan - Mar),Recharge & bill payments,632092,93491181
Assam,2018,Q1 (Jan - Mar),Peer-to-peer payments,318025,993525195
Assam,2018,Q1 (Jan - Mar),Merchant payments,40482,34501622
Assam,2018,Q1 (Jan - Mar),Financial Services,18172,4936862
Assam,2018,Q1 (Jan - Mar),Others,48110,31349593
Bihar,2018,Q1 (Jan - Mar),Recharge & bill payments,3159922,375559206
Bihar,2018,Q1 (Jan - Mar),Peer-to-peer payments,2052089,5295346761
Bihar,2018,Q1 (Jan - Mar),Financial Services,194295,33999413
Bihar,2018,Q1 (Jan - Mar),Merchant payments,138885,139827755
Bihar,2018,Q1 (Jan - Mar),Others,279111,201025034
Chandigarh,2018,Q1 (Jan - Mar),Recharge & bill payments,201262,47479581
