State,Year,Quarter,Register,App_opened
Andaman & Nicobar,2018,Q1 (Jan - Mar),6740,0
Andhra Pradesh,2018,Q1 (Jan - Mar),3336450,0
Arunachal Pradesh,2018,Q1 (Jan - Mar),21495,0
Assam,2018,Q1 (Jan - Mar),385237,0
Bihar,2018,Q1 (Jan - Mar),2133804,0
Chandigarh,2018,Q1 (Jan - Mar),86268,0
Chhattisgarh,2018,Q1 (Jan - Mar),679263,0
Dadra and Nagar Haveli and Daman and Diu,2018,Q1 (Jan - Mar),53258,0
Delhi,2018,Q1 (Jan - Mar),2087022,0
Goa,2018,Q1 (Jan - Mar),91936,0
Gujarat,2018,Q1 (Jan - Mar),2690048,0
Haryana,2018,Q1 (Jan - Mar),1847357,0
Himachal Pradesh,2018,Q1 (Jan - Mar),227373,0
Jammu & Kashmir,2018,Q1 (Jan - Mar),176425,0
Jharkhand,2018,Q1 (Jan - Mar),885762,0
Karnataka,2018,Q1 (Jan - Mar),3717763,0
Kerala,2018,Q1 (Jan - Mar),784184,0
Ladakh,2018,Q1 (Jan - Mar),8784,0
Lakshadweep,2018,Q1 (Jan - Mar),501,0
Madhya Pradesh,2018,Q1 (Jan - Mar),2553603,0
Maharashtra,2018,Q1 (Jan - Mar),6106994,0
Manipur,2018,Q1 (Jan - Mar),29925,0
Meghalaya,2018,Q1 (Jan - Mar),18513,0
Mizoram,2018,Q1 (Jan - Mar),7593,0
Nagaland,2018,Q1 (Jan - Mar),15074,0
Odisha,2018,Q1 (Jan - Mar),1594015,0
Puducherry,2018,Q1 (Jan - Mar),49318,0
Punjab,2018,Q1 (Jan - Mar),847142,0
Rajasthan,2018,Q1 (Jan - Mar),3158202,0
Sikkim,2018,Q1 (Jan - Mar),20051,0
Tamil Nadu,2018,Q1 (Jan - Mar),2104754,0
Telangana,2018,Q1 (Jan - Mar),3315560,0
Tripura,2018,Q1 (Jan - Mar),55157,0
Uttar Pradesh,2018,Q1 (Jan - Mar),4694250,0
Uttarakhand,2018,Q1 (Jan - Mar),483043,0
West Bengal,2018,Q1 (Jan - Mar),2604789,0
Andaman & Nicobar,2018,Q2 (Apr - Jun),9405,0
Andhra Pradesh,2018,Q2 (Apr - Jun),4402540,0
Arunachal Pradesh,2018,Q2 (Apr - Jun),32883,0
Assam,2018,Q2 (Apr - Jun),571046,0
Bihar,2018,Q2 (Apr - Jun),3005872,0
Chandigarh,2018,Q2 (Apr - Jun),115219,0
Chhattisgarh,2018,Q2 (Apr - Jun),950675,0
Dadra and Nagar Haveli and Daman and Diu,2018,Q2 (Apr - Jun),71458,0
Delhi,2018,Q2 (Apr - Jun),2756141,0
Goa,2018,Q2 (Apr - Jun),122174,0
Gujarat,2018,Q2 (Apr - Jun),3565825,0
Haryana,2018,Q2 (Apr - Jun),2447221,0
Himachal Pradesh,2018,Q2 (Apr - Jun),315299,0
Jammu & Kashmir,2018,Q2 (Apr - Jun),261609,0
Jharkhand,2018,Q2 (Apr - Jun),1230599,0
Karnataka,2018,Q2 (Apr - Jun),5030665,0
Kerala,2018,Q2 (Apr - Jun),1066587,0
Ladakh,2018,Q2 (Apr - Jun),12918,0
Lakshadweep,2018,Q2 (Apr - Jun),686,0
Madhya Pradesh,2018,Q2 (Apr - Jun),3441662,0
Maharashtra,2018,Q2 (Apr - Jun),8222371,0
Manipur,2018,Q2 (Apr - Jun),46055,0
Meghalaya,2018,Q2 (Apr - Jun),26618,0
Mizoram,2018,Q2 (Apr - Jun),10422,0
Nagaland,2018,Q2 (Apr - Jun),22436,0
Odisha,2018,Q2 (Apr - Jun),2185781,0
Puducherry,2018,Q2 (Apr - Jun),65580,0
Punjab,2018,Q2 (Apr - Jun),1152190,0
Rajasthan,2018,Q2 (Apr - Jun),4212964,0
Sikkim,2018,Q2 (Apr - Jun),28097,0
Tamil Nadu,2018,Q2 (Apr - Jun),2996036,0
Telangana,2018,Q2 (Apr - Jun),4260115,0
Tripura,2018,Q2 (Apr - Jun),83369,0
Uttar Pradesh,2018,Q2 (Apr - Jun),6442554,0
Uttarakhand,2018,Q2 (Apr - Jun),649142,0
West Bengal,2018,Q2 (Apr - Jun),3833795,0
Andaman & Nicobar,2018,Q3 (Jul - Sep),12149,0
Andhra Pradesh,2018,Q3 (Jul - Sep),5427617,0
Arunachal Pradesh,2018,Q3 (Jul - Sep),45922,0
Assam,2018,Q3 (Jul - Sep),784802,0
Bihar,2018,Q3 (Jul - Sep),3784535,0
Chandigarh,2018,Q3 (Jul - Sep),143893,0
Chhattisgarh,2018,Q3 (Jul - Sep),1217792,0
Dadra and Nagar Haveli and Daman and Diu,2018,Q3 (Jul - Sep),92107,0
Delhi,2018,Q3 (Jul - Sep),3504911,0
Goa,2018,Q3 (Jul - Sep),153802,0
Gujarat,2018,Q3 (Jul - Sep),4433183,0
Haryana,2018,Q3 (Jul - Sep),3020398,0
Himachal Pradesh,2018,Q3 (Jul - Sep),407634,0
Jammu & Kashmir,2018,Q3 (Jul - Sep),342529,0
Jharkhand,2018,Q3 (Jul - Sep),1532362,0
Karnataka,2018,Q3 (Jul - Sep),6372649,0
Kerala,2018,Q3 (Jul - Sep),1347598,0
Ladakh,2018,Q3 (Jul - Sep),17749,0
Lakshadweep,2018,Q3 (Jul - Sep),918,0
Madhya Pradesh,2018,Q3 (Jul - Sep),4309309,0
