State,District,Year,Quarter,Total_transaction,Transaction_amount
Andaman & Nicobar,north and middle andaman district,2018,Q1 (Jan - Mar),442,931663
Andaman & Nicobar,south andaman district,2018,Q1 (Jan - Mar),5688,12560249
Andaman & Nicobar,nicobars district,2018,Q1 (Jan - Mar),528,1139848
Andhra Pradesh,east godavari district,2018,Q1 (Jan - Mar),943935,1235785515
Andhra Pradesh,srikakulam district,2018,Q1 (Jan - Mar),458921,587778028
Andhra Pradesh,spsr nellore district,2018,Q1 (Jan - Mar),531612,676643237
Andhra Pradesh,vizianagaram district,2018,Q1 (Jan - Mar),420990,505783445
Andhra Pradesh,visakhapatnam district,2018,Q1 (Jan - Mar),1256469,1749966196
Andhra Pradesh,prakasam district,2018,Q1 (Jan - Mar),534757,748990775
Andhra Pradesh,anantapur district,2018,Q1 (Jan - Mar),638664,788830646
Andhra Pradesh,ysr district,2018,Q1 (Jan - Mar),487333,681481931
Andhra Pradesh,west godavari district,2018,Q1 (Jan - Mar),577090,853547668
Andhra Pradesh,kurnool district,2018,Q1 (Jan - Mar),679623,764905298
Andhra Pradesh,chittoor district,2018,Q1 (Jan - Mar),830324,1009621878
Andhra Pradesh,guntur district,2018,Q1 (Jan - Mar),815932,1108686589
Andhra Pradesh,krishna district,2018,Q1 (Jan - Mar),863935,1284255179
Arunachal Pradesh,lower dibang valley district,2018,Q1 (Jan - Mar),1356,1076236
Arunachal Pradesh,lower subansiri district,2018,Q1 (Jan - Mar),1477,3650727
Arunachal Pradesh,longding district,2018,Q1 (Jan - Mar),2321,4361531
Arunachal Pradesh,west siang district,2018,Q1 (Jan - Mar),1887,4796675
Arunachal Pradesh,kamle district,2018,Q1 (Jan - Mar),14,7971
Arunachal Pradesh,upper siang district,2018,Q1 (Jan - Mar),126,186610
Arunachal Pradesh,tirap district,2018,Q1 (Jan - Mar),945,1064265
Arunachal Pradesh,papum pare district,2018,Q1 (Jan - Mar),14224,32555848
Arunachal Pradesh,kurung kumey district,2018,Q1 (Jan - Mar),84,99416
Arunachal Pradesh,siang district,2018,Q1 (Jan - Mar),252,339471
Arunachal Pradesh,lower siang district,2018,Q1 (Jan - Mar),1292,2337960
Arunachal Pradesh,kra daadi district,2018,Q1 (Jan - Mar),207,495375
Arunachal Pradesh,changlang district,2018,Q1 (Jan - Mar),3195,5380749
Arunachal Pradesh,pakke kessang district,2018,Q1 (Jan - Mar),9,9131
Arunachal Pradesh,dibang valley district,2018,Q1 (Jan - Mar),2,169
Arunachal Pradesh,west kameng district,2018,Q1 (Jan - Mar),5787,9540632
Arunachal Pradesh,east siang district,2018,Q1 (Jan - Mar),3286,5533620
Arunachal Pradesh,upper subansiri district,2018,Q1 (Jan - Mar),735,1358367
Arunachal Pradesh,east kameng district,2018,Q1 (Jan - Mar),529,473824
Arunachal Pradesh,lohit district,2018,Q1 (Jan - Mar),3747,11496949
Arunachal Pradesh,lepa rada district,2018,Q1 (Jan - Mar),288,403149
Arunachal Pradesh,tawang district,2018,Q1 (Jan - Mar),2334,5055665
Arunachal Pradesh,namsai district,2018,Q1 (Jan - Mar),1400,2162984
Assam,tinsukia district,2018,Q1 (Jan - Mar),41237,45886201
Assam,lakhimpur district,2018,Q1 (Jan - Mar),24946,17798094
Assam,kamrup district,2018,Q1 (Jan - Mar),47859,41868129
