State,District,Year,Quarter,Register,App_opened
Andaman & Nicobar,north and middle andaman district,2018,Q1 (Jan - Mar),632,0
Andaman & Nicobar,south andaman district,2018,Q1 (Jan - Mar),5846,0
Andaman & Nicobar,nicobars district,2018,Q1 (Jan - Mar),262,0
Andhra Pradesh,east godavari district,2018,Q1 (Jan - Mar),350356,0
Andhra Pradesh,srikakulam district,2018,Q1 (Jan - Mar),143839,0
Andhra Pradesh,visakhapatnam district,2018,Q1 (Jan - Mar),497187,0
Andhra Pradesh,prakasam district,2018,Q1 (Jan - Mar),189949,0
Andhra Pradesh,anantapur district,2018,Q1 (Jan - Mar),241192,0
Andhra Pradesh,kurnool district,2018,Q1 (Jan - Mar),240133,0
Andhra Pradesh,guntur district,2018,Q1 (Jan - Mar),317065,0
Andhra Pradesh,krishna district,2018,Q1 (Jan - Mar),323673,0
Andhra Pradesh,spsr nellore district,2018,Q1 (Jan - Mar),194475,0
Andhra Pradesh,vizianagaram district,2018,Q1 (Jan - Mar),128905,0
Andhra Pradesh,ysr district,2018,Q1 (Jan - Mar),186800,0
Andhra Pradesh,west godavari district,2018,Q1 (Jan - Mar),213335,0
Andhra Pradesh,chittoor district,2018,Q1 (Jan - Mar),309541,0
Arunachal Pradesh,lower subansiri district,2018,Q1 (Jan - Mar),498,0
Arunachal Pradesh,tirap district,2018,Q1 (Jan - Mar),557,0
Arunachal Pradesh,papum pare district,2018,Q1 (Jan - Mar),7649,0
Arunachal Pradesh,anjaw district,2018,Q1 (Jan - Mar),278,0
Arunachal Pradesh,lower siang district,2018,Q1 (Jan - Mar),270,0
Arunachal Pradesh,dibang valley district,2018,Q1 (Jan - Mar),66,0
Arunachal Pradesh,west kameng district,2018,Q1 (Jan - Mar),2202,0
Arunachal Pradesh,shi yomi district,2018,Q1 (Jan - Mar),49,0
Arunachal Pradesh,east kameng district,2018,Q1 (Jan - Mar),222,0
Arunachal Pradesh,lohit district,2018,Q1 (Jan - Mar),1207,0
Arunachal Pradesh,lepa rada district,2018,Q1 (Jan - Mar),210,0
Arunachal Pradesh,lower dibang valley district,2018,Q1 (Jan - Mar),601,0
Arunachal Pradesh,longding district,2018,Q1 (Jan - Mar),256,0
Arunachal Pradesh,west siang district,2018,Q1 (Jan - Mar),846,0
Arunachal Pradesh,kamle district,2018,Q1 (Jan - Mar),22,0
Arunachal Pradesh,upper siang district,2018,Q1 (Jan - Mar),301,0
Arunachal Pradesh,kurung kumey district,2018,Q1 (Jan - Mar),97,0
Arunachal Pradesh,siang district,2018,Q1 (Jan - Mar),192,0
Arunachal Pradesh,kra daadi district,2018,Q1 (Jan - Mar),88,0
Arunachal Pradesh,changlang district,2018,Q1 (Jan - Mar),1208,0
Arunachal Pradesh,pakke kessang district,2018,Q1 (Jan - Mar),39,0
