State,District,Year,Quarter,Total_transaction,Transaction_amount
Andaman & Nicobar,south andaman,2018,Q1 (Jan - Mar),5688,12560249
Andaman & Nicobar,nicobars,2018,Q1 (Jan - Mar),528,1139848
Andaman & Nicobar,north and middle andaman,2018,Q1 (Jan - Mar),442,931663
Andhra Pradesh,visakhapatnam,2018,Q1 (Jan - Mar),1256469,1749966196
Andhra Pradesh,east godavari,2018,Q1 (Jan - Mar),943935,1235785515
Andhra Pradesh,krishna,2018,Q1 (Jan - Mar),863935,1284255179
Andhra Pradesh,chittoor,2018,Q1 (Jan - Mar),830324,1009621878
Andhra Pradesh,guntur,2018,Q1 (Jan - Mar),815932,1108686589
Andhra Pradesh,kurnool,2018,Q1 (Jan - Mar),679623,764905298
Andhra Pradesh,anantapur,2018,Q1 (Jan - Mar),638664,788830646
Andhra Pradesh,west godavari,2018,Q1 (Jan - Mar),577090,853547668
Andhra Pradesh,prakasam,2018,Q1 (Jan - Mar),534757,748990775
Andhra Pradesh,spsr nellore,2018,Q1 (Jan - Mar),531612,676643237
Arunachal Pradesh,papum pare,2018,Q1 (Jan - Mar),14224,32555848
Arunachal Pradesh,west kameng,2018,Q1 (Jan - Mar),5787,9540632
Arunachal Pradesh,lohit,2018,Q1 (Jan - Mar),3747,11496949
Arunachal Pradesh,east siang,2018,Q1 (Jan - Mar),3286,5533620
Arunachal Pradesh,changlang,2018,Q1 (Jan - Mar),3195,5380749
Arunachal Pradesh,tawang,2018,Q1 (Jan - Mar),2334,5055665
Arunachal Pradesh,longding,2018,Q1 (Jan - Mar),2321,4361531
Arunachal Pradesh,west siang,2018,Q1 (Jan - Mar),1887,4796675
Arunachal Pradesh,lower subansiri,2018,Q1 (Jan - Mar),1477,3650727
Arunachal Pradesh,namsai,2018,Q1 (Jan - Mar),1400,2162984
Assam,kamrup metropolitan,2018,Q1 (Jan - Mar),194617,284766218
Assam,marigaon,2018,Q1 (Jan - Mar),79832,105067294
Assam,barpeta,2018,Q1 (Jan - Mar),67801,56352302
Assam,nagaon,2018,Q1 (Jan - Mar),66695,56352631
Assam,cachar,2018,Q1 (Jan - Mar),56481,57250290
Assam,sonitpur,2018,Q1 (Jan - Mar),51976,73005566
Assam,kamrup,2018,Q1 (Jan - Mar),47859,41868129
Assam,dibrugarh,2018,Q1 (Jan - Mar),44792,53258765
Assam,tinsukia,2018,Q1 (Jan - Mar),41237,45886201
Assam,jorhat,2018,Q1 (Jan - Mar),33322,41164542
Bihar,patna,2018,Q1 (Jan - Mar),1197281,1282492050
Bihar,muzaffarpur,2018,Q1 (Jan - Mar),388401,394717112
Bihar,purbi champaran,2018,Q1 (Jan - Mar),254643,264192918
Bihar,gaya,2018,Q1 (Jan - Mar),231873,227470166
Bihar,samastipur,2018,Q1 (Jan - Mar),222241,213634124
Bihar,darbhanga,2018,Q1 (Jan - Mar),217364,224628301
Bihar,pashchim champaran,2018,Q1 (Jan - Mar),215866,236190496
Bihar,nalanda,2018,Q1 (Jan - Mar),208901,190613485
Bihar,vaishali,2018,Q1 (Jan - Mar),201678,211794626
Bihar,rohtas,2018,Q1 (Jan - Mar),201231,181378994
Chandigarh,chandigarh,2018,Q1 (Jan - Mar),381895,613435420
Chhattisgarh,raipur,2018,Q1 (Jan - Mar),323570,474633363
Chhattisgarh,durg,2018,Q1 (Jan - Mar),226774,274435199
Chhattisgarh,janjgir champa,2018,Q1 (Jan - Mar),219761,223984259
Chhattisgarh,bilaspur,2018,Q1 (Jan - Mar),158509,169865045
Chhattisgarh,raigarh,2018,Q1 (Jan - Mar),133135,140463994
Chhattisgarh,korba,2018,Q1 (Jan - Mar),93345,99366683
Chhattisgarh,rajnandgaon,2018,Q1 (Jan - Mar),73040,79830832
Chhattisgarh,surguja,2018,Q1 (Jan - Mar),68251,77822921
Chhattisgarh,mahasamund,2018,Q1 (Jan - Mar),64238,69201346
Chhattisgarh,baloda bazar,2018,Q1 (Jan - Mar),61987,55455251
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli,2018,Q1 (Jan - Mar),92738,105807098
Dadra and Nagar Haveli and Daman and Diu,daman,2018,Q1 (Jan - Mar),50218,63416803
Dadra and Nagar Haveli and Daman and Diu,diu,2018,Q1 (Jan - Mar),5593,6434481
Delhi,central delhi,2018,Q1 (Jan - Mar),2997714,4312145216
Delhi,new delhi,2018,Q1 (Jan - Mar),883737,1478916789
Delhi,south east delhi,2018,Q1 (Jan - Mar),562694,929543692
Delhi,west,2018,Q1 (Jan - Mar),545129,966855137
Delhi,north west,2018,Q1 (Jan - Mar),387431,614242861
Delhi,north,2018,Q1 (Jan - Mar),361539,574580634
Delhi,east,2018,Q1 (Jan - Mar),357904,594248348
Delhi,south,2018,Q1 (Jan - Mar),334361,597143870
Delhi,south west,2018,Q1 (Jan - Mar),318199,555900155
Delhi,shahdara,2018,Q1 (Jan - Mar),193886,326458215
Goa,north goa,2018,Q1 (Jan - Mar),95114,187108291
Goa,south goa,2018,Q1 (Jan - Mar),65783,116748450
Gujarat,ahmadabad,2018,Q1 (Jan - Mar),1436152,2153123692
Gujarat,surat,2018,Q1 (Jan - Mar),983723,1346833710
Gujarat,vadodara,2018,Q1 (Jan - Mar),387998,604645570
Gujarat,banas kantha,2018,Q1 (Jan - Mar),237457,197883270
Gujarat,gandhinagar,2018,Q1 (Jan - Mar),237393,318002413
Gujarat,mahesana,2018,Q1 (Jan - Mar),227748,213031001
Gujarat,rajkot,2018,Q1 (Jan - Mar),219190,296803513
Gujarat,kachchh,2018,Q1 (Jan - Mar),217912,316933354
Gujarat,bharuch,2018,Q1 (Jan - Mar),210073,249246117
Gujarat,bhavnagar,2018,Q1 (Jan - Mar),182948,171495425
Haryana,gurugram,2018,Q1 (Jan - Mar),1408070,2317083393
Haryana,faridabad,2018,Q1 (Jan - Mar),521939,772738359
Haryana,hisar,2018,Q1 (Jan - Mar),240517,355732765
Haryana,rewari,2018,Q1 (Jan - Mar),199418,280095218
Haryana,panipat,2018,Q1 (Jan - Mar),183960,263054774
Haryana,sonipat,2018,Q1 (Jan - Mar),178766,279804665
Haryana,karnal,2018,Q1 (Jan - Mar),169313,247718779
Haryana,sirsa,2018,Q1 (Jan - Mar),164867,164313975
Haryana,bhiwani,2018,Q1 (Jan - Mar),125150,190361119
Haryana,rohtak,2018,Q1 (Jan - Mar),121728,215207976
Himachal Pradesh,solan,2018,Q1 (Jan - Mar),118881,146873607
Himachal Pradesh,kangra,2018,Q1 (Jan - Mar),62061,83269925
Himachal Pradesh,shimla,2018,Q1 (Jan - Mar),54161,84375526
