State,District,Year,Quarter,Register
Andaman & Nicobar,south andaman,2018,Q1 (Jan - Mar),5846
Andaman & Nicobar,north and middle andaman,2018,Q1 (Jan - Mar),632
Andaman & Nicobar,nicobars,2018,Q1 (Jan - Mar),262
Andhra Pradesh,visakhapatnam,2018,Q1 (Jan - Mar),497187
Andhra Pradesh,east godavari,2018,Q1 (Jan - Mar),350356
Andhra Pradesh,krishna,2018,Q1 (Jan - Mar),323673
Andhra Pradesh,guntur,2018,Q1 (Jan - Mar),317065
Andhra Pradesh,chittoor,2018,Q1 (Jan - Mar),309541
Andhra Pradesh,anantapur,2018,Q1 (Jan - Mar),241192
Andhra Pradesh,kurnool,2018,Q1 (Jan - Mar),240133
Andhra Pradesh,west godavari,2018,Q1 (Jan - Mar),213335
Andhra Pradesh,spsr nellore,2018,Q1 (Jan - Mar),194475
Andhra Pradesh,prakasam,2018,Q1 (Jan - Mar),189949
Arunachal Pradesh,papum pare,2018,Q1 (Jan - Mar),7649
Arunachal Pradesh,west kameng,2018,Q1 (Jan - Mar),2202
Arunachal Pradesh,east siang,2018,Q1 (Jan - Mar),1803
Arunachal Pradesh,tawang,2018,Q1 (Jan - Mar),1525
Arunachal Pradesh,changlang,2018,Q1 (Jan - Mar),1208
Arunachal Pradesh,lohit,2018,Q1 (Jan - Mar),1207
Arunachal Pradesh,west siang,2018,Q1 (Jan - Mar),846
Arunachal Pradesh,namsai,2018,Q1 (Jan - Mar),737
Arunachal Pradesh,lower dibang valley,2018,Q1 (Jan - Mar),601
Arunachal Pradesh,upper subansiri,2018,Q1 (Jan - Mar),572
Assam,kamrup metropolitan,2018,Q1 (Jan - Mar),87336
Assam,dibrugarh,2018,Q1 (Jan - Mar),21182
Assam,barpeta,2018,Q1 (Jan - Mar),20485
Assam,nagaon,2018,Q1 (Jan - Mar),19619
Assam,cachar,2018,Q1 (Jan - Mar),19567
Assam,sonitpur,2018,Q1 (Jan - Mar),18986
Assam,jorhat,2018,Q1 (Jan - Mar),16442
Assam,tinsukia,2018,Q1 (Jan - Mar),15998
Assam,kamrup,2018,Q1 (Jan - Mar),15241
Assam,dhubri,2018,Q1 (Jan - Mar),11421
Bihar,patna,2018,Q1 (Jan - Mar),425009
Bihar,muzaffarpur,2018,Q1 (Jan - Mar),125298
Bihar,gaya,2018,Q1 (Jan - Mar),91015
Bihar,purbi champaran,2018,Q1 (Jan - Mar),87561
Bihar,samastipur,2018,Q1 (Jan - Mar),76068
Bihar,bhagalpur,2018,Q1 (Jan - Mar),76063
Bihar,nalanda,2018,Q1 (Jan - Mar),75201
Bihar,darbhanga,2018,Q1 (Jan - Mar),74414
Bihar,vaishali,2018,Q1 (Jan - Mar),67921
Bihar,pashchim champaran,2018,Q1 (Jan - Mar),67656
Chandigarh,chandigarh,2018,Q1 (Jan - Mar),86268
Chhattisgarh,raipur,2018,Q1 (Jan - Mar),135308
Chhattisgarh,durg,2018,Q1 (Jan - Mar),91516
Chhattisgarh,bilaspur,2018,Q1 (Jan - Mar),68704
Chhattisgarh,raigarh,2018,Q1 (Jan - Mar),51628
Chhattisgarh,janjgir champa,2018,Q1 (Jan - Mar),42297
Chhattisgarh,korba,2018,Q1 (Jan - Mar),39075
Chhattisgarh,rajnandgaon,2018,Q1 (Jan - Mar),26295
Chhattisgarh,surguja,2018,Q1 (Jan - Mar),22001
Chhattisgarh,baloda bazar,2018,Q1 (Jan - Mar),21747
Chhattisgarh,mahasamund,2018,Q1 (Jan - Mar),19608
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli,2018,Q1 (Jan - Mar),32028
Dadra and Nagar Haveli and Daman and Diu,daman,2018,Q1 (Jan - Mar),18677
Dadra and Nagar Haveli and Daman and Diu,diu,2018,Q1 (Jan - Mar),2553
Delhi,west,2018,Q1 (Jan - Mar),308558
Delhi,south east delhi,2018,Q1 (Jan - Mar),251213
Delhi,north west,2018,Q1 (Jan - Mar),223679
Delhi,new delhi,2018,Q1 (Jan - Mar),212008
Delhi,central delhi,2018,Q1 (Jan - Mar),202723
Delhi,south west,2018,Q1 (Jan - Mar),179197
Delhi,north,2018,Q1 (Jan - Mar),173622
Delhi,east,2018,Q1 (Jan - Mar),169295
Delhi,south,2018,Q1 (Jan - Mar),156706
Delhi,shahdara,2018,Q1 (Jan - Mar),114549
Goa,north goa,2018,Q1 (Jan - Mar),57769
Goa,south goa,2018,Q1 (Jan - Mar),34167
Gujarat,ahmadabad,2018,Q1 (Jan - Mar),572811
Gujarat,surat,2018,Q1 (Jan - Mar),489852
Gujarat,vadodara,2018,Q1 (Jan - Mar),205722
Gujarat,rajkot,2018,Q1 (Jan - Mar),133017
Gujarat,gandhinagar,2018,Q1 (Jan - Mar),118201
Gujarat,bharuch,2018,Q1 (Jan - Mar),101575
Gujarat,kachchh,2018,Q1 (Jan - Mar),97838
Gujarat,mahesana,2018,Q1 (Jan - Mar),97004
Gujarat,banas kantha,2018,Q1 (Jan - Mar),93506
Gujarat,bhavnagar,2018,Q1 (Jan - Mar),87683
Haryana,gurugram,2018,Q1 (Jan - Mar),474081
Haryana,faridabad,2018,Q1 (Jan - Mar),231504
Haryana,hisar,2018,Q1 (Jan - Mar),113872
Haryana,rewari,2018,Q1 (Jan - Mar),85350
Haryana,sonipat,2018,Q1 (Jan - Mar),79638
Haryana,panipat,2018,Q1 (Jan - Mar),74739
Haryana,karnal,2018,Q1 (Jan - Mar),73612
Haryana,sirsa,2018,Q1 (Jan - Mar),70800
Haryana,rohtak,2018,Q1 (Jan - Mar),62452
Haryana,bhiwani,2018,Q1 (Jan - Mar),57585
Himachal Pradesh,solan,2018,Q1 (Jan - Mar),50035
Himachal Pradesh,kangra,2018,Q1 (Jan - Mar),39016
Himachal Pradesh,shimla,2018,Q1 (Jan - Mar),28214
Himachal Pradesh,mandi,2018,Q1 (Jan - Mar),26238
Himachal Pradesh,sirmaur,2018,Q1 (Jan - Mar),15880
Himachal Pradesh,hamirpur,2018,Q1 (Jan - Mar),15614
Himachal Pradesh,kullu,2018,Q1 (Jan - Mar),15318
Himachal Pradesh,una,2018,Q1 (Jan - Mar),13234
Himachal Pradesh,bilaspur,2018,Q1 (Jan - Mar),11975
Himachal Pradesh,chamba,2018,Q1 (Jan - Mar),8678
Jammu & Kashmir,jammu,2018,Q1 (Jan - Mar),45294
Jammu & Kashmir,srinagar,2018,Q1 (Jan - Mar),18233
Jammu & Kashmir,baramulla,2018,Q1 (Jan - Mar),16299
Jammu & Kashmir,budgam,2018,Q1 (Jan - Mar),11594
Jammu & Kashmir,anantnag,2018,Q1 (Jan - Mar),11556
Jammu & Kashmir,udhampur,2018,Q1 (Jan - Mar),8457
Jammu & Kashmir,pulwama,2018,Q1 (Jan - Mar),8441
Jammu & Kashmir,kathua,2018,Q1 (Jan - Mar),8039
Jammu & Kashmir,kupwara,2018,Q1 (Jan - Mar),7254
Jammu & Kashmir,samba,2018,Q1 (Jan - Mar),6534
Jharkhand,ranchi,2018,Q1 (Jan - Mar),159444
Jharkhand,dhanbad,2018,Q1 (Jan - Mar),130195
Jharkhand,east singhbhum,2018,Q1 (Jan - Mar),103016
Jharkhand,bokaro,2018,Q1 (Jan - Mar),101673
Jharkhand,hazaribagh,2018,Q1 (Jan - Mar),56421
Jharkhand,giridih,2018,Q1 (Jan - Mar),45940
Jharkhand,ramgarh,2018,Q1 (Jan - Mar),37875
Jharkhand,deoghar,2018,Q1 (Jan - Mar),35229
Jharkhand,palamu,2018,Q1 (Jan - Mar),31788
Jharkhand,saraikela kharsawan,2018,Q1 (Jan - Mar),31177
Karnataka,bengaluru urban,2018,Q1 (Jan - Mar),1922368
Karnataka,mysuru,2018,Q1 (Jan - Mar),150799
Karnataka,belagavi,2018,Q1 (Jan - Mar),140320
Karnataka,dharwad,2018,Q1 (Jan - Mar),106877
Karnataka,ballari,2018,Q1 (Jan - Mar),103566
